VEGHFAGE,HF,VEGAGE,VEG,AGE,Broad,Type,TypeCC,WET,WATER,WETWATER,VEGAGE_use,AGE_Description,AgeMin,AgeMax,StructuralStage,EC_AGE,Category,HFtype,UseInAnalysis,SuccAlien,NonlinLin,UseInHFReporting,UseInReporting,Sector,Description,Sector2,Sector3,Combined,LevsForComp,LCC5
Swamp-Conif3,Swamp-Conif3,NA,Swamp-Conif3,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif3,Conif,5
Swamp-Conif4,Swamp-Conif4,NA,Swamp-Conif4,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif4,Conif,5
Swamp-Conif5,Swamp-Conif5,NA,Swamp-Conif5,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif5,Conif,5
Swamp-Conif6,Swamp-Conif6,NA,Swamp-Conif6,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif6,Conif,5
Swamp-Conif7,Swamp-Conif7,NA,Swamp-Conif7,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif7,Conif,5
Swamp-Conif8,Swamp-Conif8,NA,Swamp-Conif8,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif8,Conif,5
Swamp-Conif9,Swamp-Conif9,NA,Swamp-Conif9,Swamp-Conif,,Swamp,Swamp,Swamp,1,0,1,Swamp,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Conif,UpConif,Conif9,Conif,5
Swamp-Decid0,Swamp-Decid0,NA,Swamp-Decid0,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,Unknown,NA,NA,Unknown,,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid0,Decid,5
Swamp-DecidR,Swamp-DecidR,NA,Swamp-DecidR,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,DecidR,Decid,5
Swamp-Decid1,Swamp-Decid1,NA,Swamp-Decid1,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,10-19 yr old,10,19,Shrub (Stand Initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid1,Decid,5
Swamp-Decid2,Swamp-Decid2,NA,Swamp-Decid2,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid2,Decid,5
Swamp-Decid3,Swamp-Decid3,NA,Swamp-Decid3,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid3,Decid,5
Swamp-Decid4,Swamp-Decid4,NA,Swamp-Decid4,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid4,Decid,5
Swamp-Decid5,Swamp-Decid5,NA,Swamp-Decid5,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid5,Decid,5
Swamp-Decid6,Swamp-Decid6,NA,Swamp-Decid6,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid6,Decid,5
Swamp-Decid7,Swamp-Decid7,NA,Swamp-Decid7,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid7,Decid,5
Swamp-Decid8,Swamp-Decid8,NA,Swamp-Decid8,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid8,Decid,5
Swamp-Decid9,Swamp-Decid9,NA,Swamp-Decid9,Swamp-Decid,,Swamp,Swamp,Swamp,1,0,1,Swamp,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid9,Decid,5
Swamp-Mixwood0,Swamp-Mixwood0,NA,Swamp-Mixwood0,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,Unknown,NA,NA,Unknown,,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood0,Mixwood,5
Swamp-MixwoodR,Swamp-MixwoodR,NA,Swamp-MixwoodR,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,MixwoodR,Mixwood,5
Swamp-Mixwood1,Swamp-Mixwood1,NA,Swamp-Mixwood1,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,10-19 yr old,10,19,Shrub (Stand Initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood1,Mixwood,5
Swamp-Mixwood2,Swamp-Mixwood2,NA,Swamp-Mixwood2,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood2,Mixwood,5
Swamp-Mixwood3,Swamp-Mixwood3,NA,Swamp-Mixwood3,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood3,Mixwood,5
Swamp-Mixwood4,Swamp-Mixwood4,NA,Swamp-Mixwood4,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood4,Mixwood,5
Swamp-Mixwood5,Swamp-Mixwood5,NA,Swamp-Mixwood5,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood5,Mixwood,5
Swamp-Mixwood6,Swamp-Mixwood6,NA,Swamp-Mixwood6,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood6,Mixwood,5
Swamp-Mixwood7,Swamp-Mixwood7,NA,Swamp-Mixwood7,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood7,Mixwood,5
Swamp-Mixwood8,Swamp-Mixwood8,NA,Swamp-Mixwood8,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood8,Mixwood,5
Swamp-Mixwood9,Swamp-Mixwood9,NA,Swamp-Mixwood9,Swamp-Mixwood,,Swamp,Swamp,Swamp,1,0,1,Swamp,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Mixwood,Mixwood,Mixwood9,Mixwood,5
Swamp-Pine0,Swamp-Pine0,NA,Swamp-Pine0,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,Unknown,NA,NA,Unknown,,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine0,Pine,5
Swamp-PineR,Swamp-PineR,NA,Swamp-PineR,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,PineR,Pine,5
Swamp-Pine1,Swamp-Pine1,NA,Swamp-Pine1,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,10-19 yr old,10,19,Shrub (Stand Initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine1,Pine,5
