ID,is_HF,is_linear,is_alien,is_water,is_wet,is_road,is_road_veg,is_closed,is_forest,is_harvest,UseInAnalysisFine,UseInAnalysisFineAge,UseInAnalysisCoarse,Sector61,LCC4,MatureOld,forest_stand,VEGHFAGE_FINE,VEGHFAGE,AGE,VEGHF,VEGHF_FINE,ETA_UseInAnalysis,ETA_UseInAnalysis_Sector,StepBack,PolyReclass,UseAvail,UseInPIX,CoefTabs,CoefTabsBDQT
TreedBog1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,BSpr,BSpr1,ConLo,Native,Wet,FALSE,TreedBog,TreedBog1,TreedBog1,1,TreedBog,TreedBog,BlackSpruce1,NATIVE,Wetland-BSpr1,BlackSpruce10,BlackSpruce,BSpr,BlackSpruce_10-20,BlackSpruce_10-20
TreedBog2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,BSpr,BSpr2,ConLo,Native,Wet,FALSE,TreedBog,TreedBog2,TreedBog2,2,TreedBog,TreedBog,BlackSpruce2,NATIVE,Wetland-BSpr2,BlackSpruce20,BlackSpruce,BSpr,BlackSpruce_20-40,BlackSpruce_20-40
TreedBog3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,BSpr,BSpr3,ConLo,Native,Wet,FALSE,TreedBog,TreedBog3,TreedBog3,3,TreedBog,TreedBog,BlackSpruce3,NATIVE,Wetland-BSpr3,BlackSpruce40,BlackSpruce,BSpr,BlackSpruce_40-60,BlackSpruce_40-60
TreedBog4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,BSpr,BSpr4,ConLo,Native,Wet,FALSE,TreedBog,TreedBog4,TreedBog4,4,TreedBog,TreedBog,BlackSpruce4,NATIVE,Wetland-BSpr4,BlackSpruce60,BlackSpruce,BSpr,BlackSpruce_60-80,BlackSpruce_60-80
TreedBog5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,BSpr,BSpr5,ConLo,Native,Wet,TRUE,TreedBog,TreedBog5,TreedBog5,5,TreedBog,TreedBog,BlackSpruce5,NATIVE,Wetland-BSpr5,BlackSpruce80,BlackSpruce,BSprO,BlackSpruce_80-100,BlackSpruce_80-100
TreedBog6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,BSpr,BSpr6,ConLo,Native,Wet,TRUE,TreedBog,TreedBog6,TreedBog6,6,TreedBog,TreedBog,BlackSpruce6,NATIVE,Wetland-BSpr6,BlackSpruce100,BlackSpruce,BSprO,BlackSpruce_100-120,BlackSpruce_100-120
TreedBog7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,BSpr,BSpr7,ConLo,Native,Wet,TRUE,TreedBog,TreedBog7,TreedBog7,7,TreedBog,TreedBog,BlackSpruce7,NATIVE,Wetland-BSpr7,BlackSpruce120,BlackSpruce,BSprO,BlackSpruce_120-140,BlackSpruce_120-140
TreedBog8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,BSpr,BSpr8,ConLo,Native,Wet,TRUE,TreedBog,TreedBog8,TreedBog8,8,TreedBog,TreedBog,BlackSpruce8,NATIVE,Wetland-BSpr8,BlackSpruce140,BlackSpruce,BSprO,BlackSpruce_140+,BlackSpruce_140+
TreedBog9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,BSpr,BSpr9,ConLo,Native,Wet,TRUE,TreedBog,TreedBog9,TreedBog9,9,TreedBog,TreedBog,BlackSpruce8,NATIVE,Wetland-BSpr9,BlackSpruce140,BlackSpruce,BSprO,BlackSpruce_140+,BlackSpruce_140+
TreedFenR,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Larch,LarchR,ConLo,Native,Wet,FALSE,TreedFen,TreedFenR,TreedBogR,R,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-LarchR,Larch0,TreedFen,TrFen,TreedFen,TreedFen
TreedFen1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Larch,Larch1,ConLo,Native,Wet,FALSE,TreedFen,TreedFen1,TreedBog1,1,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-Larch1,Larch10,TreedFen,TrFen,TreedFen,TreedFen
TreedFen2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Larch,Larch2,ConLo,Native,Wet,FALSE,TreedFen,TreedFen2,TreedBog2,2,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-Larch2,Larch20,TreedFen,TrFen,TreedFen,TreedFen
TreedFen3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Larch,Larch3,ConLo,Native,Wet,FALSE,TreedFen,TreedFen3,TreedBog3,3,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-Larch3,Larch40,TreedFen,TrFen,TreedFen,TreedFen
TreedFen4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Larch,Larch4,ConLo,Native,Wet,FALSE,TreedFen,TreedFen4,TreedBog4,4,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-Larch4,Larch60,TreedFen,TrFen,TreedFen,TreedFen
TreedFen5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Larch,Larch5,ConLo,Native,Wet,TRUE,TreedFen,TreedFen5,TreedBog5,5,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-Larch5,Larch80,TreedFen,TrFen,TreedFen,TreedFen
TreedFen6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Larch,Larch6,ConLo,Native,Wet,TRUE,TreedFen,TreedFen6,TreedBog6,6,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-Larch6,Larch100,TreedFen,TrFen,TreedFen,TreedFen
TreedFen7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Larch,Larch7,ConLo,Native,Wet,TRUE,TreedFen,TreedFen7,TreedBog7,7,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-Larch7,Larch120,TreedFen,TrFen,TreedFen,TreedFen
TreedFen8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Larch,Larch8,ConLo,Native,Wet,TRUE,TreedFen,TreedFen8,TreedBog8,8,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-Larch8,Larch140,TreedFen,TrFen,TreedFen,TreedFen
TreedFen9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Larch,Larch9,ConLo,Native,Wet,TRUE,TreedFen,TreedFen9,TreedBog9,9,TreedFen,TreedFen,TreedFen,NATIVE,Wetland-Larch9,Larch140,TreedFen,TrFen,TreedFen,TreedFen
TreedSwampR,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwampR,TreedSwamp,R,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
TreedSwamp1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwamp1,TreedSwamp,1,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
TreedSwamp2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwamp2,TreedSwamp,2,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
TreedSwamp3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwamp3,TreedSwamp,3,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
TreedSwamp4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwamp4,TreedSwamp,4,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
TreedSwamp5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwamp5,TreedSwamp,5,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
TreedSwamp6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwamp6,TreedSwamp,6,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
TreedSwamp7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwamp7,TreedSwamp,7,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
TreedSwamp8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwamp8,TreedSwamp,8,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
TreedSwamp9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Swamp,Swamp,Swamp,Native,Wet,FALSE,TreedSwamp,TreedSwamp9,TreedSwamp,9,TreedSwamp,TreedSwamp,TreeShrubSwamp,NATIVE,Swamp,Swamp,Wetland,Swamp,TreeShrubSwamp,TreeShrubSwamp
GrassHerb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,GrassHerb,GrassHerb,GrassHerb,Native,Open,FALSE,,GrassHerb,GrassHerb,,GrassHerb,GrassHerb,Grass,NATIVE,GrassHerb,GrassHerb,Open,Grass,Grass,Grass
Shrub,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Shrub,Shrub,Shrub,Native,Open,FALSE,,Shrub,Shrub,,Shrub,Shrub,Shrub,NATIVE,Shrub,Shrub,Open,Shrub,Shrub,Shrub
GraminoidFen,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,GraminoidFen,GraminoidFen,GraminoidFen,Native,Wet,FALSE,,GraminoidFen,GraminoidFen,,GraminoidFen,GraminoidFen,NonTreeFenMarsh,NATIVE,WetGrassHerb,WetGrass,Wetland,GrFen,NonTreeFenMarsh,NonTreeFenMarsh
Marsh,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Marsh,Marsh,Marsh,Native,Wet,FALSE,,Marsh,Marsh,,Marsh,Marsh,NonTreeFenMarsh,NATIVE,WetGrassHerb,WetGrass,Wetland,Marsh,NonTreeFenMarsh,NonTreeFenMarsh
